,content,at,score
1344,Very good experience,2022-02-01 14:51:25,4
1345,Game keeps on crashing,2021-01-10 12:13:20,1
1346,It's very intresting we need more new town halls quick to see there intresting powers,2022-01-25 10:22:50,5
1347,Builder base obsolete,2021-09-24 10:18:11,4
1348,This is a game that can remove my stressed or any pain so I downloaded these for my own self,2022-02-17 08:07:23,5
1349,This game is wonderful for entertainment,2022-02-28 03:31:57,3
1350,Cute game,2022-01-20 07:01:43,1
1351,Hi supercell please recover my account please 🥺🥺,2021-04-12 07:14:03,1
1352,TH14 update crashes the game everytime I switch accounts in my Google play,2021-04-14 13:07:25,1
1353,Learn how to properly matchmake,2022-02-01 08:16:54,1
1354,It's really fun,2022-02-21 06:53:19,4
1355,Dear Supercell                           We are telling u that this game is very cool but after the boat update it become very boring i know that it is very hard to make a game i understand but please please understand players problem it is very hard to play both bases most of players are student like me and we did't play coc all the time we have to study you well know about it so i request you please remove boat update and if you can't most of players like me leave the game and cannot play any more Thank you,2021-06-28 02:58:45,4
1356,So F awesome,2022-03-07 08:17:01,5
1357,I enjoy the game....not having to see 1ad after another is nice,2021-07-20 13:10:35,3
1358,It's amazing,2022-03-03 07:36:37,5
1359,Changed to a new device the game crashes at start. I can not even open the game,2021-03-06 15:58:37,2
1360,Nice game,2022-02-16 22:41:50,5
1361,Very nice ....,2022-02-16 07:16:28,5
1362,f2p takes too much time,2021-06-18 15:39:48,4
1363,Good game,2022-01-01 04:08:42,4
1364,Very fun to play when you have time to.,2022-02-16 19:34:04,5
1365,hello my name is dream gamer ok is a bad game,2022-01-19 10:15:22,1
1366,🔥🔥🔥,2022-02-20 14:09:28,5
1367,Time west,2021-12-10 13:51:49,2
1368,Very good,2022-02-17 02:33:48,5
1369,I love this game so muchh i just cant get back my old account,2022-02-17 09:50:27,4
1370,In my tab M10 FHD 2 gb ram I can't play coc because suddenly back from home screen I don't know how to fix it if you konw tell me please,2021-05-24 15:03:41,2
1371,Now hating this game just because it lags too much and it don't even starts on the right time....... whenever I open the game my screen blackout's and stops.... Plzz repair this bug,2021-04-12 13:22:12,1
1372,Good game to play,2021-05-10 15:00:27,3
1373,Nice Game,2022-02-18 02:03:33,5
1374,NETWORK EIUSE UN THIS GAME,2022-01-05 06:24:38,1
1375,Good,2022-02-18 08:19:42,5
1376,I like this game,2021-03-09 06:53:20,3
1377,I like this game and I am playing it for 1 year but I think there was a discount to upgrade town hall that's why I give it 4 star,2021-10-08 06:13:34,4
1378,Lol no,2022-02-16 21:29:43,1
1379,it's really fun,2021-06-09 19:04:34,4
1380,So gooddddd,2022-01-22 16:17:46,5
1381,Good game I am playing this game for 3 years but still exited for next town hall❤️,2022-03-06 04:57:24,5
1382,Nys game,2021-12-06 16:51:29,4
1383,Remove name of Allah from the barbarian Statue,2021-02-15 16:39:36,2
1384,Good,2021-10-05 03:19:10,3
1385,Nothing to say ❤️,2022-02-16 14:01:24,5
1386,Nice game of clash of clans,2021-12-24 17:06:07,3
1387,Need some refreshments for th lower than 12,2021-04-12 12:36:02,3
1388,I love it,2021-01-07 00:43:44,3
1389,This app is not working from jan. I have uninstalled and then installed. But no use. It is loading for so many hours,2022-01-08 04:51:21,2
1390,"Supercell i have problem, i cant install brawl star and comment it because i have android 4.2.1, pls fix in next update",2022-02-16 15:11:42,5
1391,Reloading problems,2021-11-05 02:59:33,3
1392,"After updating the game, it show that new version available please update and it's not working after updating.. any suggestions???",2021-09-27 12:35:28,1
1393,Nice game,2021-10-02 17:47:30,4
1394,Best game since fornite,2022-03-14 22:43:45,5
1395,bubu,2021-10-21 03:54:39,1
1396,Plzz global chat ko lado phir se,2022-02-19 07:03:07,5
1397,❤️❤️❤️❤️❤️❤️,2022-02-14 07:16:15,5
1398,Please super cell dont make so much update .are u guys wanna make this game like free fire and PUBG lite. When I first started playing this game was in less mb and now look so much.,2021-09-13 04:03:25,4
1399,I am unable to play this game,2021-02-03 16:55:50,1
1400,"Hello coc ! Listen iam on Town Hall 11 recently so i want to come in th13 within small time with maxing of my base so i requsted u to stop upgrading th14 to th15 becz when u update it to th15 the lower player are not interested to spend their more precious time on the game so try to remain constant on th14 and give a chance to low th player to come on th12,13,14 and for completing their dream.",2021-09-27 18:49:31,1
1401,⭐⭐⭐⭐⭐,2022-02-26 16:01:24,5
1402,The game scuks for the dum troops they all ways for the wrong way the game is all abaut tap jest tap so boring,2021-05-03 05:12:26,1
1403,"Y only 4 star cuz ,my keyboard wont pop up in the game plzzzzzzzzzz solve this problem",2022-02-16 15:34:15,4
1404,I Love 🤩 my favourite ❣️ games,2022-02-16 19:31:14,5
1405,"please, we would like to get our national flag(myanmar) in game. Thanks indeed.",2022-02-22 11:00:51,5
1406,"What s going on? It says update available, I click it and won't update. I can't even play old version. Sort it please",2021-09-27 12:36:26,1
1407,please add friends private chat inbox,2021-06-15 13:05:39,3
1408,After. Level 8 town hall ..no loot So bored,2022-02-16 16:44:01,1
1409,"Reducing the star as, I am not able to recruit new members to the clan. Please introduce global chat again",2021-06-16 11:53:06,2
1410,I love this game,2022-02-17 10:06:54,5
1411,loved the game since i was a lad in middle school recently redownloaded it on my chromebook but for some reason it has stopped working and no longer launches and crashes almost immediately,2021-09-15 02:37:30,3
1412,This game helps pass time,2022-02-09 20:09:12,4
1413,It takes so much time to upgrade a single unit we don't have that much time to spend on game we get bored,2021-06-18 13:08:51,1
1414,"it says update the game all the time, I click on update, and my play store shows no ""update"" button, just play and uninstall, I click on play and then it says ""update"" again once I open the game even though the play store doesn't offer an update",2021-09-27 15:26:31,1
1415,Hey Supercell team plzz help me someone changed my id I lost my gmail also he/she is accessing my account plz help me to recover my account,2021-01-02 19:32:42,2
1416,Nice,2022-02-16 15:57:38,5
1417,Good,2021-08-11 02:19:05,1
1418,hm hepi this game,2022-02-16 14:15:34,5
1419,Fun to play,2022-02-12 16:00:30,4
1420,"its a wonderful game for me,everytime i can play i been experience exciting event..",2021-09-11 07:34:33,1
1421,"The game is one of the most beautiful games for me on the phone before the Christmas update, because this update came as a catastrophe for me because I am trying to enter my village, but I cannot try to register without a device because I thought that the defect was from my device But the problem was in the game itself and I tried to contact the game hackers but they did not respond to me and so far the game is still not working",2021-12-28 19:45:48,1
1422,I am not able to login in my old account,2021-09-25 06:20:15,1
1423,Very nice game,2022-02-16 13:55:20,5
1424,The best strategy game ever played. But actually only one flaw it has is that it takes a lot of time to upgrade a building which annoys a lot because to wait for so much time is very difficult. Also there is no content like the building is slowly slowly getting upgraded but instead 2 days we see the same building and as soon as the time runs out we see the new building. It should be some more attractive. And ya one more that please add more builders in the builder base. Rest all is the bestest..,2020-12-09 07:03:57,4
1425,Anybody know why I cant update the new version of the game? Just says play on google play and now the game automatically opens and and say new version update now adn I cant play anymore.,2021-09-27 13:05:38,1
1426,upgrading wall is so expensive its cost half of max resource capacity for 1 wall. thats Crazy,2021-01-10 18:49:48,1
1427,Super game,2022-02-06 12:55:53,5
1428,❤️,2022-02-21 12:21:41,5
1429,Worst game in the world 🌎 😑😑😑😑😑😔😔😔😔😔,2021-07-28 09:40:32,1
1430,"Hi, i tried contacting you guys via email but nothing seems to go through, please see below mentioned problem asap. My name is Abrie Fourie and im an avid coc player. I cant seem to go into my game and i dont know why, everytime i want to log on it only goes until i see the supercell logo and then automatically kicks out to my phones home screen. Please help with this issue. My game ID is: #20U9VVP9V If you can assist as soon as possible please.",2021-03-23 17:17:06,4
1431,I used to play this game until I realized how precious the little time on this earth is. Lmao waiting 45 mins to train some troops to be able to actually play the game. Oh and upgrading building is even worse. Waste your life or pay to win game.,2021-11-24 16:16:40,1
1432,Adipoli.!,2022-02-08 17:11:47,5
1433,Fix your goddamn Ai troops its annoying when they leave low hp defense and start attacking farby storage,2021-06-23 05:15:56,1
1434,Boring,2021-04-12 11:46:07,1
1435,This game is nice but game updates so long plzzz update gets short...🤗🤗,2022-02-19 02:23:53,5
1436,This game is very good,2022-02-17 10:02:58,5
1437,"Really enjoying coc thus far, especially since its clear your creators make an effort to fix any issues. Update 2022: Really gone downhill. War matches are horrible, global chat is gone, clan games are now messed up. How is a th 8 supposed to deploy super troops for 500 point when I DONT HAVE SUPER TROOPS?!",2022-02-24 19:48:49,1
1438,Lots of time waste,2021-09-09 17:57:40,1
1439,Very fun game,2022-02-13 01:06:34,5
1440,Nice,2022-03-04 01:25:18,5
1441,"So far from my experience clash of clans has been quite fun, every once in a while it can get a bit frustrating but everything else about this game totalmakes up for it",2021-12-04 08:06:30,4
1442,Worst game in the.world,2022-02-13 10:25:35,1
1443,This is my favourite game 🥰🥰🥰,2022-03-14 02:40:20,5
1444,Gg,2021-10-11 17:19:44,1
1445,Cant go in my game. Pls fix,2021-12-10 01:44:49,1
1446,Nice game,2022-01-21 03:02:15,5
1447,omg,2021-06-16 04:55:20,2
1448,Good,2022-03-03 15:20:35,5
1449,"Hi, the Champion Queen Skin is so dark/dim. Her armor looks like bronze not gold. Make her brighter like the Champion King Skin. Fix it",2021-12-06 15:44:34,2
1450,Wow,2022-02-11 19:34:57,5
1451,Op game i love this,2021-07-16 03:56:53,4
1452,Worst Game! I have ever seen.,2021-03-25 06:57:53,3
1453,Osame,2022-02-01 14:10:45,5
1454,Awesome,2022-02-16 13:44:26,5
1455,It started to have CRASHES recently and I don't know why doesn't Supercell fix it😭,2020-12-28 06:10:43,1
1456,Army take lot of time,2021-01-25 00:51:23,1
1457,i love clash of clans,2022-02-16 13:20:53,5
1458,Please this game is so good but I switched phones and got a new phone and now cannot log in my old acount please help me,2021-10-14 17:00:31,4
1459,its a good game but please reduce the cost of upgrading walls on higher townhalls,2021-07-03 21:49:29,4
1460,GAME CRASHING AFTER UPDATE NOT OPENING 😠,2021-04-12 15:20:27,1
1461,Is awesome game op is hard,2022-01-11 15:32:55,4
1462,Why doesn't the hammer work on the eagle tower,2021-04-27 03:27:58,4
1463,Tatti,2021-08-12 04:50:39,1
1464,Fgood Good,2021-09-24 10:43:28,1
1465,very. good. it. games,2021-06-03 11:25:04,1
1466,Ilike this,2022-03-03 14:54:41,4
1467,Good but take long time update when high level,2021-11-15 16:16:44,4
1468,Very fun,2021-10-20 05:54:09,4
1469,i like it,2022-03-03 09:27:50,5
1470,Very intresting,2021-06-15 11:00:12,2
1471,Good combat game.,2021-05-14 11:33:48,4
1472,Experience is very good and best user friendly.,2022-02-17 02:49:23,5
1473,This game is great but if u could add 1 thing it would be even better. If u could add super spells this game would be the best game out there.not only that could u please re-add the only allow max level troops thing when u go to request for troops. It's annoying how u can't have max level troops now unless ur like town hall 13 or 14. If u add all of this I will spend more $ on it and see if all my friends could download it to.,2022-03-13 18:04:53,5
1474,Supercell please make this offline in the name of Jesus,2021-06-12 09:09:56,4
1475,😇,2022-03-03 16:09:54,3
1476,"Grat game. But please add a trading feature in the game. In this we would be able to trade resources, gems, magical items etc.",2021-05-21 14:28:15,4
1477,It doesn't let me play,2021-11-13 12:30:05,1
1478,Way not update this app,2022-03-09 18:56:02,1
1479,Make this game more funnn,2021-02-15 17:43:29,3
1480,Developers you should bring back the global chat system.,2021-10-14 19:58:37,4
1481,In the best game an technical,2021-06-15 10:07:37,4
1482,Send me some bucks,2022-02-16 17:27:39,5
1483,Aditya Rajawat,2021-03-01 09:57:39,2
1484,It is enjoyable and strategize game,2022-02-16 13:51:06,5
1485,nice,2022-03-14 11:23:22,5
1486,Bt event is high cost,2021-08-25 06:13:39,4
1487,Nice 🥰🥰🥰💞💞💞,2022-02-20 06:41:17,5
1488,It's pretty cool to build my own base!,2022-02-16 23:13:48,5
1489,GG,2021-09-18 06:54:36,4
1490,Ok,2021-09-25 01:25:07,4
1491,nice game,2021-04-12 13:11:55,4
1492,烂 每次打联机战时 剩1%打不到就扣我10多的奖杯 烂游戏 烂烂烂,2022-02-16 16:08:37,1
1493,Nicrle,2021-02-16 05:49:11,4
1494,Can't login,2021-08-24 03:58:23,1
1495,The best strategic game,2022-02-08 15:51:08,4
1496,Best mobile game even better than clash royale. FINALLY A GAME WITH NO POP UP ADS. The game is lag free and ists really fun. Never gets boring,2022-02-18 01:54:07,5
1497,My clash of clans restart plz,2022-02-08 12:32:47,5
1498,Best free mobile game bare none!,2022-03-05 19:42:17,5
1499,Great game 👍,2021-11-28 02:10:02,4
1500,Good,2022-02-16 15:53:09,5
1501,playing 3 years for this game,2022-03-05 12:33:35,5
1502,nice game and another people want to max her base you want to do update on that update all are max her base after that update all are max her base,2021-04-19 03:45:12,3
1503,Awesome and stopped playing for some years back now still as good 👍,2022-03-06 17:07:00,5
1504,Best,2022-02-07 13:11:21,5
1505,I have clan but I am not online form long time then leader is prmoted another plz sahi kr do ise,2021-10-19 10:27:43,3
1506,The worst number one online game i ever played. after reaching max. my acc got lost and i try to recorver my acc by entirinng new verification code but it keep saying i need new one and the supercell didn't do anything about it....i hate these game,2022-02-17 04:26:59,1
1507,I have bean playing this game for 5 years and this update ses i have to uninstall the game what do i do,2022-02-17 00:38:41,4
1508,Interesting game,2021-01-22 05:55:06,4
1509,Best game in world.,2022-01-22 11:35:55,5
1510,This app is wonder full,2022-02-25 17:16:58,5
1511,Kk,2021-10-04 17:42:16,1
1512,"I just went back into playing COC after more than 5 years. The game let me attack my own TH11 base to ""prove that I'm the chief"". I successfully destroyed the base, then suddenly the based became a TH6. It doesn't even allow me to save a new base layout and says something like ""error saving layout"". I'm not sure what happened to this game in the past 5 years but it sure now sucks. If I nothing can be done to fix it in a week then I'll just uninstall this game again.",2021-07-01 21:04:09,1
1513,Super game,2021-08-09 10:13:39,4
1514,I love playing clash of clans . i am playing since 2016 and it is fun till now🙂.,2022-02-26 02:45:21,5
1515,Noce,2021-11-17 14:38:55,4
1516,It is a good game..but it takes more time to upgrade..I am not satisfied with this..please decrease the time of upgrade..This game is not easier than the video in the play Store,2021-08-23 16:39:18,4
1517,Its not that good and its boring ish,2021-01-03 04:58:58,2
1518,Bloddy app doesn’t run😒,2021-04-13 04:20:52,1
1519,This is the one of the nise game,2021-08-08 14:34:15,2
1520,We need pakistan's Flag,2021-05-16 14:29:08,1
1521,I like this game,2022-03-03 06:46:38,3
1522,Don't download thise clash of clans games when I am playing thise game it got my home village locked and I goin to support agents of supercell in coc when I filling Otto came from bilder base and home village I fill all after that agents also came but he not help me and he not recover my locked I'd of my coc account of th 9 so any one don't download thise game is worst till playing it is nice after locked no help so plsee don't use and coc team close your game your game is worst not recovery 😭,2021-06-24 19:07:39,1
1523,It's a good game but you should make it easier for free to play players.,2021-12-11 20:14:00,4
1524,Punda,2021-07-27 10:12:23,1
1525,Amazing,2022-01-21 03:56:09,5
1526,"why is it that every time there is an update, we have trouble getting it. it doesn't let you play unless I downloaded the update. so now I am not able to play because my device don't accept the update. I have a TH12 and lots of time and $$$ invested in it.",2021-04-18 15:57:38,3
1527,Nice game,2021-09-29 06:53:56,4
1528,The app is not loading from this morning. Only the blank screen is there,2021-09-27 12:36:11,4
1529,Bring back global chat !!!!!,2021-11-17 11:46:30,2
1530,Ok,2022-02-16 14:01:36,5
1531,No good gem,2021-04-12 16:56:11,1
1532,Sorry but I have to take a star away. The new chat filters is dumb. Still a fun game.,2022-02-24 20:42:24,4
1533,It's play to win obviously,2021-06-16 10:36:28,4
1534,Ossom game,2021-12-20 15:31:51,4
1535,What the hell.... how much updates. New version 😒🙄,2021-06-18 14:17:09,1
1536,Because iam th 9 max,2021-04-13 02:15:58,1
1537,Fine,2021-06-27 19:53:36,4
1538,This game is always bad remove islamic religious names in the game Thnks.,2020-12-18 08:10:53,1
1539,Awesome,2022-02-16 19:46:32,4
1540,"I like this game, yet the server whom who manage the match making is so unfair... How could I attack and win if my opponent is higher level than my town hall is lower .. it must be fair ...",2022-02-16 13:53:17,3
1541,I can't play the game because if i open the game it will crash and back to my main screen pls fix this so i can rate it again,2021-12-22 00:50:49,1
1542,Very Good game,2021-09-03 01:11:33,1
1543,phaltu,2021-07-09 11:14:05,1
1544,Nice 🙂,2022-02-19 15:33:08,5
1545,Ok,2022-02-16 17:38:28,5
1546,nice and very good game since 2015.,2022-02-17 00:49:23,4
1547,I like this game 😍🎯😍🎯😍🎯😅🎯😅🎯,2022-02-18 00:54:38,5
1548,Keeps on loosing game got a New tablet Android 10 Still?,2021-11-04 14:29:21,1
1549,"tak boleh bukak COC.. uninstall install balik pun sama juga, tak boleh bukak.. anjirr",2021-03-23 03:33:55,1
1550,Very nice game,2022-03-03 06:01:11,5
1551,The game is really good but there are many members that they do not understand how to play war and they don't know how to reply also so supercell should see this problem . I gave 2 stars only for noob players. If supercell doesn't make changes i have to stop playing clash of clans,2021-02-03 13:34:01,2
1552,Game not found problem. How to fix it team please solve this,2022-03-01 07:02:52,5
1553,Best,2022-03-04 05:35:25,5
1554,This is my favorite game because it is base on upgrading and strength but nowdays it is not work properly in my phone my phone is 1 gb ram I want to reaquest to supercell I play coc but auto back every time I install and delete I reset my phone I play this game 2016 I am a boy my age is 13 but my town hall is 14,2022-02-03 08:01:55,5
1555,Super,2021-11-05 16:45:18,4
1556,My game crashes that's why three stars otherwise 5 star,2022-01-23 06:07:04,3
1557,Your game always pops out when I try to play many times but this is my favorite online game ...still your game pops out can't play it,2021-10-22 10:10:11,1
1558,Didnt play in my cellphone,2022-02-03 05:29:42,1
1559,I cant use my siege machine. Fix it guys,2021-06-17 13:30:44,2
1560,I like it,2022-03-14 10:08:51,5
1561,I played this game from july 2019 l just like it,2022-02-15 18:13:04,5
1562,epic game so cool,2021-02-24 04:53:13,4
1563,I enjoyed the game but I got locked though,2021-06-20 11:18:04,4
1564,HOG RIDERRRR,2022-02-19 19:21:54,5
1565,I like spending time in the game. It's good for time killing.chatting with your mates is a good feature. The hard thing is collecting loots in builder base.we have to wait for bonus to appear.,2022-02-19 09:54:16,5
1566,Anglem billi,2021-05-21 13:56:41,1
1567,My game is frequently facing network issues inspite of a good internet connection.This is really affecting my gameplay and lost many trophies because of this,2022-01-09 13:32:21,1
1568,Fantastic game😍,2022-01-17 10:16:53,5
1569,Game Hath Kyon Nahin Hota To ki ismein Apne Aisa Kyon Kiya aapane update kiya isliye,2021-06-29 15:28:52,1
1570,Plz bring the update of walls can be upgrade with elixir  thx,2021-06-27 22:45:41,4
1571,Nice game,2021-11-18 11:40:33,4
1572,fantastic,2022-02-13 00:48:05,5
1573,This game is so fun,2021-09-28 04:42:05,4
1574,Manoj,2020-12-08 15:00:13,1
1575,Lover coc,2021-05-01 18:03:59,4
1576,Nice game,2021-04-12 11:57:36,1
1577,"خوبه،فقط زمان ارتقاع زیاده.تا میخوای نصف ارتقاعها رو بری,میبینی هنوز دیوارهم ارتقاع نتونستی بدی اپدیت بعدی رسیده.قیمت دیوار هم واقعا بالاست.",2021-06-15 15:06:32,4
1578,Mst,2021-10-09 05:50:27,2
1579,Mind blowing game ... good update ....,2022-02-16 08:08:42,5
1580,سۆوڕونۆۆوون.,2022-02-25 11:17:37,5
1581,"Absolute bunch of Herberts. A simple task like transferring my son's game to his new tablet is still ongoing after two weeks and 45 emails. Their support staff are worse than BT and that takes some doing. Update 80 emails, never did get it sorted. W##kers",2021-09-27 11:44:29,1
1582,I can't recover my account dont install this game again,2022-02-13 00:56:24,1
1583,My clash of clan crash when am playing it. Please fix it,2022-01-21 01:08:58,2
1584,i hate this game very very much,2021-07-09 14:01:48,1
1585,Best online game ever I had played.... Good graphics... Good control...,2022-02-16 16:53:02,5
1586,Would be better if the game had something to do in the background,2021-02-19 23:13:05,3
1587,Great game amazing graphics cool features the only problem I have is that the game randomly kicks me out for no reason and I'm unable to open it until I delete and re download the game its really frustrating at times,2021-12-20 08:18:51,3
1588,his,2022-02-16 15:38:58,2
1589,"Администрация вмешивается в расстановки городов, удалили все 6 моих оригинальных городов, за это удалил игру, а играл в нее много лет.....После написания этого поста была попытка взлома моего гугл аккаунта, не порядочная компания.",2021-06-15 16:00:09,1
1590,"I am giving it 3 stars because after 1 day of installing the game stopped opening, whenever I press on button a black screen appears and game does not work but I reinstalled so I got my id back and now I am changing stars to 4",2021-05-17 15:14:00,4
1591,🔥🔥,2022-02-16 14:51:22,5
1592,Ok,2021-05-10 02:56:36,1
1593,Peace,2022-02-20 11:44:30,5
1594,Nice apk,2021-08-03 13:19:30,3
1595,"I love this game but the base editor is buggy as heck, the biggest issue is ill spend 10 minutes making a new base and click save and then it will say ""Village save failed try again later"" and i lose all the time i spent editing the base, this has been happening a lot and i hate it",2021-04-30 03:10:23,4
1596,Very good game 👍👌,2022-02-16 14:02:47,5
1597,Yo 😑,2022-01-30 12:46:19,4
1598,It is vesy nice game,2021-08-25 18:12:18,1
1599,the best game in the world,2022-01-24 11:38:27,5
1600,You banned my acc without any reason,2022-03-01 03:57:05,1
1601,I have have been playing for years!!!! Just wish I could get my original game back!,2021-01-01 00:43:18,4
1602,Match making during wars is so unfair. Please be fair,2021-03-06 15:31:59,1
1603,Good game,2022-02-19 07:36:56,1
1604,One of the best games i have ever played. The reason i did not give 5 stars is that supercell does not pay attention to the issues and requests of people.,2021-04-13 12:09:51,4
1605,Play and try it,2021-04-14 05:49:39,3
1606,this game does not open whenever i try to open this game it show black sreen never ever download this game this game sucks,2021-05-02 06:40:08,1
1607,Just incredible game here is nothing to say,2022-03-09 15:43:49,5
1608,"it is a lost of time, update again and again",2022-02-16 14:54:22,1
1609,It's a amazing game ever... Awesome,2020-12-13 08:25:06,4
1610,Very good game really like it,2021-08-29 13:17:15,4
1611,"It was a great game but now I can't get into the game, I don't know why it is happening but please fix it",2021-08-10 09:53:47,1
1612,Can't even login to my old ID.,2022-01-17 20:34:27,1
1613,iLove this game😍😍😍,2022-02-05 23:31:56,5
1614,awsome,2021-08-09 06:43:34,3
1615,Vere nice game,2022-03-04 04:01:53,5
1616,its awsome,2022-02-19 22:39:11,5
1617,Very good game,2022-03-04 10:49:10,5
1618,Why nowadays too many updates are coming???,2021-06-18 14:35:35,2
1619,👍,2022-02-21 04:29:05,5
1620,Este juego me encanta tiene mis dos modos de juego favoritos: estrategia y guerra Está review la escribí hace años pero sigue en pie y más ahora que nunca gracias a todas las actualizaciones y mejoras que hicieron el juego fantastico,2022-02-16 13:52:39,5
1621,This is bad game,2021-02-11 07:21:54,1
1622,Happy,2021-09-27 15:58:55,2
1623,Op game,2022-02-19 07:17:26,4
1624,The algorithm for matching clans for war is really sad. We have yet to go in a war league or regular and have equal opponents. They have been grossly unbalanced which makes it really futile.,2021-12-03 03:05:27,1
1625,In my mobile vivo y 91 not suportted coc open nd loading screen nd black screen show worst game,2021-08-10 05:12:24,1
1626,I bought the tiger mountain scenery but I didn't get it now the 7 euro I spent are gone and I have absolutely nothing please fix it,2022-01-31 16:25:43,1
1627,Good game but its lags in 1gb ram phone plzz fix this so we experience good gaming🙂,2022-01-20 19:40:57,5
1628,Superb game highly entertaining patience is the key when you play this game,2021-04-12 11:31:46,4
1629,Once you get higher the upgrades take too long to complete,2021-04-25 05:14:28,3
1630,Very bad,2021-01-17 02:49:12,1
1631,I love coc on 5 years,2022-02-17 03:51:33,5
1632,I love this game so much!! Edit: use to have fun with this game but late game requires you to spend too much,2021-01-20 00:11:26,2
1633,Please add the national flags of PAKISTAN🇵🇰 and Iran 🇮🇷 in the game ASAP,2022-02-01 15:01:47,4
1634,I love this game very much but the waiting time is too long plz fix that,2021-02-02 00:46:45,4
1635,Services been down. Will remove once service back up.,2021-07-12 05:38:22,1
1636,The update cannot install on my device,2021-06-16 13:31:16,1
1637,Good game for time pass,2021-06-15 12:57:19,4
1638,Waste game,2021-01-05 11:10:31,1
1639,Op,2022-02-17 02:20:27,5
1640,goood,2021-10-02 14:38:01,1
1641,bhai log koi fayeda nhi hai agar tum chahe 10 townhall karlo but apki I'd super cell se connect nhi hui or apki game delete ho gai to wapas nhi ayegi,2021-08-25 15:15:26,1
1642,Cant even play the damned game. It crashes if i try to do anything more than collect resources.,2021-12-12 02:06:24,1
1643,Best game but its not better than brawl stars in my opinion the coc has less games we cant earn gens or when the achievments come or completed we get only 5 to 10 gems,2021-02-25 06:42:18,4
1644,Its good game it had time pass ur time an ply with ur frn,2021-12-18 06:59:39,4
1645,Updated kar liya fir bhi update karne ko bol rhe hai😡😡😡😡😡😡😡,2021-09-27 12:16:18,1
1646,Bast Game,2022-03-07 06:57:08,5
1647,"At the moment I am not paying, and I am doing fine, but as u get better apparently it is a pay to win game, if u can make this game easier without paying before I get good, I will rate 5 star!",2021-07-25 12:33:39,4
1648,I like this game,2022-01-25 05:06:18,5
1649,Its okay,2021-03-29 15:05:58,3
1650,Very wonderful game,2020-12-29 17:02:15,1
1651,At first fix your stupid bugs.. then create a game,2021-06-16 13:07:22,1
1652,This game is really unfair. Im playing in night village. Im still builder hall 4. Why my enemy was Builder Hall 7. Please make night village more fair.,2021-05-24 07:03:22,1
1653,Nice...........,2022-01-20 14:00:53,5
1654,Fun to play that's all,2022-03-03 10:43:59,5
1655,This app isn't responding😠,2020-12-16 23:36:12,1
1656,Nice game,2022-02-17 04:25:24,5
1657,Please just stop at th 14. Enough of this damn updates..😐,2022-02-17 11:01:40,5
1658,It's a nice game,2022-01-20 02:46:37,4
1659,It's really fun,2021-11-08 05:35:31,4
1660,Game is not working,2021-12-30 14:15:11,1
1661,It's really fun what else do you want,2020-12-10 17:34:53,4
1662,Nice game,2022-03-04 10:10:34,5
1663,Best game ever,2022-02-16 14:26:52,5
1664,Best game for other games like bgmi,2021-09-09 10:26:10,1
1665,Ok,2021-06-13 14:50:56,1
1666,kembalikan laa global chat wahai supercell,2021-06-16 10:08:27,2
1667,I gave it 1 star because i accidentally deleted the app and here i am installing again. LMFAO,2021-04-19 13:56:52,1
1668,I CANT INSTALL THE APP,2021-04-11 05:43:58,4
1669,Nice game,2021-10-09 03:57:11,4
1670,This game is all time best,2022-03-02 08:22:31,5
1671,nice game i like it,2021-06-18 14:39:53,4
1672,Good game,2022-02-16 15:23:47,5
1673,The game isn't coming it's just stuck on loading the loading ting doesn't go forward. I tried everything I could to just enter the game but it didn't work. Now I'm just stuck in loading screen😡,2021-06-30 17:42:57,3
1674,The best game,2022-02-16 15:45:50,5
1675,I like this game but gems are so slowly generating in gem mine please supercell do 5 gems per day at gem mine lvl 3,2021-02-24 09:03:05,4
1676,Good,2021-08-15 13:17:18,1
1677,"Really good game.... but the security system and the way the company deals with it, is horrific...Lost my account and Customer service asked mе couple of questions and one of them was what month and year was my account created...Keep In mind i told them i have been playing this game for like a decade how am i able to remember like what year and month i started....Losing so much time for nothing is more than infuriating....I would strongly disagree of installing it...Game keeps getting worse",2021-02-16 15:13:36,1
1678,I have not seen any game so good I love this game and the new version is also very nice,2022-03-06 20:17:03,5
1679,This game is a money pit with endless aggravation. No matter what clan you make or join you level all the town hall and troops up. Just to basically start over each time and cost you a lot more time and resources for no reward or satisfaction. I finally got everything max level just to be attacked multiple times to knock back down Titan. The game will get old to you just like it did me I played 2 years straight 1000s of dollars hard earned money spent for stuff that really never helps.,2021-01-12 16:21:33,2
1680,Its great game.,2021-09-28 03:22:31,4
1681,Free 🆓 fire Sigheb Didn't show dive into it should Didn't of day early for the door 🚪 Chevrolet right ⏯️ free jfjfbfuhbdy call 🤙 kdntni n I think it's the door and the door 🚪 the dkfni d e,2021-08-25 15:18:06,1
1682,Nice Nice,2022-02-24 13:22:22,5
1683,"Good Game, Even your account village is lost can get back.",2021-09-08 07:05:23,4
1684,Gems mine is too slow. And builders hut are too expensive.,2022-02-12 03:44:53,2
1685,Matanza,2022-02-17 04:04:49,5
1686,Boring game,2021-10-01 08:30:12,3
1687,Never seen a game like it except pubg ohh yeah,2022-02-17 06:34:00,5
1688,"Suddenly the game has gone blank ,even after reinstalled, the game does not start.i am at level 11, this is frustrating",2020-12-26 08:52:23,1
